title,doi,labels
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,10.1007/s10661-023-11309-3,Tipo de valorización: Valorización térmica
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,10.1007/s10661-023-11309-3,Tipo de valorización: Aplicaciones ambientales
Ultrasound-assisted extraction of chromium from tanned leather shavings: A promising continuous flow technology for the treatment of solid waste,10.1016/j.ultsonch.2022.106124,Producto: Materiale
Ultrasound-assisted extraction of chromium from tanned leather shavings: A promising continuous flow technology for the treatment of solid waste,10.1016/j.ultsonch.2022.106124,Residuos: Residuos sólidos
Ultrasound-assisted extraction of chromium from tanned leather shavings: A promising continuous flow technology for the treatment of solid waste,10.1016/j.ultsonch.2022.106124,Residuos: Residuos con cromo
Ultrasound-assisted extraction of chromium from tanned leather shavings: A promising continuous flow technology for the treatment of solid waste,10.1016/j.ultsonch.2022.106124,Tipo de valorización: Valorización química
Sustainable utilization of corn starch resources: A novel soluble starch-based functional chrome-free tanning agent for the eco-leather production,10.1016/j.indcrop.2022.115534,Producto: Materiale
Sustainable utilization of corn starch resources: A novel soluble starch-based functional chrome-free tanning agent for the eco-leather production,10.1016/j.indcrop.2022.115534,Residuos: Residuos con cromo
Sustainable utilization of corn starch resources: A novel soluble starch-based functional chrome-free tanning agent for the eco-leather production,10.1016/j.indcrop.2022.115534,Residuos: Residuos líquidos
Sustainable utilization of corn starch resources: A novel soluble starch-based functional chrome-free tanning agent for the eco-leather production,10.1016/j.indcrop.2022.115534,Tipo de valorización: Valorización química
Efficient electrochemical advanced degradation of Red CL and Red WB dyes from the tanning industry using a boron-doped diamond anode,10.1016/j.chemosphere.2024.142825,Producto: Materiale
Efficient electrochemical advanced degradation of Red CL and Red WB dyes from the tanning industry using a boron-doped diamond anode,10.1016/j.chemosphere.2024.142825,Residuos: Residuos líquidos
Efficient electrochemical advanced degradation of Red CL and Red WB dyes from the tanning industry using a boron-doped diamond anode,10.1016/j.chemosphere.2024.142825,Tipo de valorización: Aplicaciones ambientales
A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,10.1016/j.ijbiomac.2024.130942,Producto: Materiale
A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,10.1016/j.ijbiomac.2024.130942,Residuos: Residuos sólidos
A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,10.1016/j.ijbiomac.2024.130942,Residuos: Residuos con cromo
A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,10.1016/j.ijbiomac.2024.130942,Tipo de valorización: Valorización química
Applications of enzymes in leather processing,10.1007/s10311-020-00971-5,Producto: Biomoléculas
Applications of enzymes in leather processing,10.1007/s10311-020-00971-5,Residuos: Residuos sólidos
Applications of enzymes in leather processing,10.1007/s10311-020-00971-5,Residuos: Residuos líquidos
Applications of enzymes in leather processing,10.1007/s10311-020-00971-5,Tipo de valorización: Valorización biológica
Nonconventional utilization of rejected hides and skins,10.1080/09712119.2025.2577707,Producto: Materiale
Nonconventional utilization of rejected hides and skins,10.1080/09712119.2025.2577707,Residuos: Residuos sólidos
Nonconventional utilization of rejected hides and skins,10.1080/09712119.2025.2577707,Residuos: Residuos sin cromo
Nonconventional utilization of rejected hides and skins,10.1080/09712119.2025.2577707,Tipo de valorización: Valorización química
Utilization of Raw Trimming Wastes to Fabricate Biocomposites: A Single Step Approach for Solid Waste Management,10.34314/g4s28k32,Producto: Materiale
Utilization of Raw Trimming Wastes to Fabricate Biocomposites: A Single Step Approach for Solid Waste Management,10.34314/g4s28k32,Producto: Biomoléculas
Utilization of Raw Trimming Wastes to Fabricate Biocomposites: A Single Step Approach for Solid Waste Management,10.34314/g4s28k32,Residuos: Residuos sólidos
Utilization of Raw Trimming Wastes to Fabricate Biocomposites: A Single Step Approach for Solid Waste Management,10.34314/g4s28k32,Residuos: Residuos sin cromo
Utilization of Raw Trimming Wastes to Fabricate Biocomposites: A Single Step Approach for Solid Waste Management,10.34314/g4s28k32,Tipo de valorización: Valorización química
"Amphoteric superabsorbent polymer based on waste collagen as loading media and safer release systems for herbicide 2, 4-D",10.1002/app.48480,Producto: Materiale
"Amphoteric superabsorbent polymer based on waste collagen as loading media and safer release systems for herbicide 2, 4-D",10.1002/app.48480,Residuos: Residuos sólidos
"Amphoteric superabsorbent polymer based on waste collagen as loading media and safer release systems for herbicide 2, 4-D",10.1002/app.48480,Tipo de valorización: Valorización química
Valorization of raw hide trimmings as alternative protein source for poultry feed: A step towards sustainable waste management and circular bioeconomy,10.1016/j.jclepro.2026.147579,Residuos: Residuos sólidos
Valorization of raw hide trimmings as alternative protein source for poultry feed: A step towards sustainable waste management and circular bioeconomy,10.1016/j.jclepro.2026.147579,Residuos: Residuos sin cromo
Valorization of raw hide trimmings as alternative protein source for poultry feed: A step towards sustainable waste management and circular bioeconomy,10.1016/j.jclepro.2026.147579,Producto: Productos agrícolas
Valorization of raw hide trimmings as alternative protein source for poultry feed: A step towards sustainable waste management and circular bioeconomy,10.1016/j.jclepro.2026.147579,Tipo de valorización: Valorización biológica
Silkworm-cocoon-inspired sandwich-structured hollow carbon nanofiber films with absorption-dominated electromagnetic interference shielding and tailored thermal management,10.1016/j.carbon.2025.120961,Producto: Materiale
Silkworm-cocoon-inspired sandwich-structured hollow carbon nanofiber films with absorption-dominated electromagnetic interference shielding and tailored thermal management,10.1016/j.carbon.2025.120961,Residuos: Residuos sólidos
Silkworm-cocoon-inspired sandwich-structured hollow carbon nanofiber films with absorption-dominated electromagnetic interference shielding and tailored thermal management,10.1016/j.carbon.2025.120961,Tipo de valorización: Valorización térmica
Utilization of leather fibrous wastes for the production of reconstituted fibric materials: heavy metal determination and removal,10.1007/s42768-022-00093-4,Producto: Materiale
Utilization of leather fibrous wastes for the production of reconstituted fibric materials: heavy metal determination and removal,10.1007/s42768-022-00093-4,Residuos: Residuos sólidos
Utilization of leather fibrous wastes for the production of reconstituted fibric materials: heavy metal determination and removal,10.1007/s42768-022-00093-4,Residuos: Residuos con cromo
Utilization of leather fibrous wastes for the production of reconstituted fibric materials: heavy metal determination and removal,10.1007/s42768-022-00093-4,Tipo de valorización: Valorización química
Utilization of leather fibrous wastes for the production of reconstituted fibric materials: heavy metal determination and removal,10.1007/s42768-022-00093-4,Tipo de valorización: Aplicaciones ambientales
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Producto: Energía
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Producto: Materiale
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Producto: Biomoléculas
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Residuos: Residuos sólidos
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Residuos: Residuos con cromo
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Residuos: Residuos líquidos
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Residuos: Residuos sin cromo
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Producto: Productos agrícolas
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Tipo de valorización: Valorización química
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Tipo de valorización: Valorización térmica
Progress in sustainable technologies of leather wastes valorization as solutions for the circular economy,10.1016/j.jclepro.2021.127902,Tipo de valorización: Valorización biológica
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Producto: Energía
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Producto: Biomoléculas
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Residuos: Residuos sólidos
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Residuos: Residuos líquidos
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Residuos: Residuos sin cromo
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Tipo de valorización: Valorización química
Valorization of trout skins for a circular bioeconomy: Ecological leather production and anaerobic co-digestion of tanning effluents with trout byproducts (Morocco),10.1016/j.envc.2025.101197,Tipo de valorización: Valorización biológica
Monetizing and selection of sustainable tannery sludge-to-energy technology using a simulation-based novel integrated MCDM model along with life cycle Techno-Economic-ESG analysis,10.1016/j.cej.2024.155428,Producto: Energía
Monetizing and selection of sustainable tannery sludge-to-energy technology using a simulation-based novel integrated MCDM model along with life cycle Techno-Economic-ESG analysis,10.1016/j.cej.2024.155428,Residuos: Residuos sólidos
Monetizing and selection of sustainable tannery sludge-to-energy technology using a simulation-based novel integrated MCDM model along with life cycle Techno-Economic-ESG analysis,10.1016/j.cej.2024.155428,Residuos: Residuos con cromo
Monetizing and selection of sustainable tannery sludge-to-energy technology using a simulation-based novel integrated MCDM model along with life cycle Techno-Economic-ESG analysis,10.1016/j.cej.2024.155428,Tipo de valorización: Valorización térmica
Microbial keratinases: An overview of biochemical characterization and its eco-friendly approach for industrial applications,10.1016/j.jclepro.2019.119847,Producto: Biomoléculas
Microbial keratinases: An overview of biochemical characterization and its eco-friendly approach for industrial applications,10.1016/j.jclepro.2019.119847,Residuos: Residuos sólidos
Microbial keratinases: An overview of biochemical characterization and its eco-friendly approach for industrial applications,10.1016/j.jclepro.2019.119847,Tipo de valorización: Valorización biológica
Fe-doped tannin-derived biochar inducing radical/nonradical oxidation pathways toward catechol abatement: A strategy of turning waste in leather industry into treasure to drive carbocatalysis-mediated persulfate activation,10.1016/j.seppur.2025.133482,Producto: Materiale
Fe-doped tannin-derived biochar inducing radical/nonradical oxidation pathways toward catechol abatement: A strategy of turning waste in leather industry into treasure to drive carbocatalysis-mediated persulfate activation,10.1016/j.seppur.2025.133482,Residuos: Residuos sólidos
Fe-doped tannin-derived biochar inducing radical/nonradical oxidation pathways toward catechol abatement: A strategy of turning waste in leather industry into treasure to drive carbocatalysis-mediated persulfate activation,10.1016/j.seppur.2025.133482,Tipo de valorización: Valorización térmica
Fe-doped tannin-derived biochar inducing radical/nonradical oxidation pathways toward catechol abatement: A strategy of turning waste in leather industry into treasure to drive carbocatalysis-mediated persulfate activation,10.1016/j.seppur.2025.133482,Tipo de valorización: Aplicaciones ambientales
Valorization of tannery fleshing waste into nitrogen source for sustainable production of microbial enzymes.,10.1007/s13205-025-04684-w,Producto: Biomoléculas
Valorization of tannery fleshing waste into nitrogen source for sustainable production of microbial enzymes.,10.1007/s13205-025-04684-w,Residuos: Residuos sólidos
Valorization of tannery fleshing waste into nitrogen source for sustainable production of microbial enzymes.,10.1007/s13205-025-04684-w,Residuos: Residuos sin cromo
Valorization of tannery fleshing waste into nitrogen source for sustainable production of microbial enzymes.,10.1007/s13205-025-04684-w,Tipo de valorización: Valorización biológica
Innovative utilization of leather waste for chromium-doped ZnO photocatalysts: Advanced modeling and MATLAB optimization for effective wastewater treatment,10.1016/j.jics.2026.102436,Producto: Materiale
Innovative utilization of leather waste for chromium-doped ZnO photocatalysts: Advanced modeling and MATLAB optimization for effective wastewater treatment,10.1016/j.jics.2026.102436,Residuos: Residuos sólidos
Innovative utilization of leather waste for chromium-doped ZnO photocatalysts: Advanced modeling and MATLAB optimization for effective wastewater treatment,10.1016/j.jics.2026.102436,Residuos: Residuos con cromo
Innovative utilization of leather waste for chromium-doped ZnO photocatalysts: Advanced modeling and MATLAB optimization for effective wastewater treatment,10.1016/j.jics.2026.102436,Tipo de valorización: Valorización química
Innovative utilization of leather waste for chromium-doped ZnO photocatalysts: Advanced modeling and MATLAB optimization for effective wastewater treatment,10.1016/j.jics.2026.102436,Tipo de valorización: Aplicaciones ambientales
Utilization of Collagen Wastes as Bioretanning Agent and Effects on the Mechanical Properties of Leather,10.32710/tekstilvekonfeksiyon.1066721,Producto: Materiale
Utilization of Collagen Wastes as Bioretanning Agent and Effects on the Mechanical Properties of Leather,10.32710/tekstilvekonfeksiyon.1066721,Producto: Biomoléculas
Utilization of Collagen Wastes as Bioretanning Agent and Effects on the Mechanical Properties of Leather,10.32710/tekstilvekonfeksiyon.1066721,Residuos: Residuos sólidos
Utilization of Collagen Wastes as Bioretanning Agent and Effects on the Mechanical Properties of Leather,10.32710/tekstilvekonfeksiyon.1066721,Residuos: Residuos con cromo
Utilization of Collagen Wastes as Bioretanning Agent and Effects on the Mechanical Properties of Leather,10.32710/tekstilvekonfeksiyon.1066721,Tipo de valorización: Valorización química
Recovery of Cr from chrome-containing leather waste and its utilization as reinforcement along with waste spent alumina catalyst and grinding sludge in AA 5052-based metal matrix composites,10.1177/09544089211038385,Producto: Materiale
Recovery of Cr from chrome-containing leather waste and its utilization as reinforcement along with waste spent alumina catalyst and grinding sludge in AA 5052-based metal matrix composites,10.1177/09544089211038385,Residuos: Residuos sólidos
Recovery of Cr from chrome-containing leather waste and its utilization as reinforcement along with waste spent alumina catalyst and grinding sludge in AA 5052-based metal matrix composites,10.1177/09544089211038385,Residuos: Residuos con cromo
Recovery of Cr from chrome-containing leather waste and its utilization as reinforcement along with waste spent alumina catalyst and grinding sludge in AA 5052-based metal matrix composites,10.1177/09544089211038385,Tipo de valorización: Valorización química
"A novel vegetable tannin for eco-leather production: separation, characterization and application of facile valorized indigenous Acacia nilotica bark extract",10.1016/j.biteb.2023.101591,Producto: Materiale
"A novel vegetable tannin for eco-leather production: separation, characterization and application of facile valorized indigenous Acacia nilotica bark extract",10.1016/j.biteb.2023.101591,Producto: Biomoléculas
"A novel vegetable tannin for eco-leather production: separation, characterization and application of facile valorized indigenous Acacia nilotica bark extract",10.1016/j.biteb.2023.101591,Residuos: Residuos sin cromo
"A novel vegetable tannin for eco-leather production: separation, characterization and application of facile valorized indigenous Acacia nilotica bark extract",10.1016/j.biteb.2023.101591,Tipo de valorización: Valorización química
THE USE OF NON-CHROME MINERAL TANNING MATERIALS AS A PREFERABLE ENVIRONMENTALLY FRIENDLY TANNING MATERIAL,10.24264/lfj.21.3.4,Producto: Materiale
THE USE OF NON-CHROME MINERAL TANNING MATERIALS AS A PREFERABLE ENVIRONMENTALLY FRIENDLY TANNING MATERIAL,10.24264/lfj.21.3.4,Residuos: Residuos con cromo
THE USE OF NON-CHROME MINERAL TANNING MATERIALS AS A PREFERABLE ENVIRONMENTALLY FRIENDLY TANNING MATERIAL,10.24264/lfj.21.3.4,Residuos: Residuos líquidos
THE USE OF NON-CHROME MINERAL TANNING MATERIALS AS A PREFERABLE ENVIRONMENTALLY FRIENDLY TANNING MATERIAL,10.24264/lfj.21.3.4,Tipo de valorización: Valorización química
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Producto: Energía
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Producto: Materiale
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Producto: Biomoléculas
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Residuos: Residuos sólidos
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Residuos: Residuos con cromo
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Residuos: Residuos sin cromo
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Tipo de valorización: Valorización química
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Tipo de valorización: Valorización térmica
A Review on Utilization Routes of the Leather Industry Biomass,10.1155/2021/1503524,Tipo de valorización: Valorización biológica
From Waste to Function: Valorization of Collagen-Based Wastes with Natural Deep Eutectic Solvents for Bioadhesive Applications,10.1021/acssuschemeng.5c11526,Producto: Materiale
From Waste to Function: Valorization of Collagen-Based Wastes with Natural Deep Eutectic Solvents for Bioadhesive Applications,10.1021/acssuschemeng.5c11526,Residuos: Residuos sólidos
From Waste to Function: Valorization of Collagen-Based Wastes with Natural Deep Eutectic Solvents for Bioadhesive Applications,10.1021/acssuschemeng.5c11526,Residuos: Residuos sin cromo
From Waste to Function: Valorization of Collagen-Based Wastes with Natural Deep Eutectic Solvents for Bioadhesive Applications,10.1021/acssuschemeng.5c11526,Tipo de valorización: Valorización química
Eco-friendly bioenergy: New approaches for the effective treatment of tannery fleshings,10.1016/j.envc.2021.100249,Producto: Energía
Eco-friendly bioenergy: New approaches for the effective treatment of tannery fleshings,10.1016/j.envc.2021.100249,Residuos: Residuos sólidos
Eco-friendly bioenergy: New approaches for the effective treatment of tannery fleshings,10.1016/j.envc.2021.100249,Residuos: Residuos sin cromo
Eco-friendly bioenergy: New approaches for the effective treatment of tannery fleshings,10.1016/j.envc.2021.100249,Tipo de valorización: Valorización química
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications",10.1016/j.greeac.2025.100212,Producto: Materiale
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications",10.1016/j.greeac.2025.100212,Producto: Biomoléculas
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications",10.1016/j.greeac.2025.100212,Residuos: Residuos sólidos
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications",10.1016/j.greeac.2025.100212,Residuos: Residuos sin cromo
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications",10.1016/j.greeac.2025.100212,Tipo de valorización: Valorización química
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications",10.1016/j.greeac.2025.100212,Tipo de valorización: Valorización biológica
Hydrolysate from leather tanning waste as clay modifier for pig manure treatment,10.1016/j.rsurfi.2025.100645,Producto: Materiale
Hydrolysate from leather tanning waste as clay modifier for pig manure treatment,10.1016/j.rsurfi.2025.100645,Residuos: Residuos sólidos
Hydrolysate from leather tanning waste as clay modifier for pig manure treatment,10.1016/j.rsurfi.2025.100645,Tipo de valorización: Aplicaciones ambientales
Co-pyrolysis of chrome-tanned leather waste and polyethylene terephthalate: Synergistic effects on pyrolysis kinetics and product distribution,10.1016/j.jaap.2025.107487,Producto: Energía
Co-pyrolysis of chrome-tanned leather waste and polyethylene terephthalate: Synergistic effects on pyrolysis kinetics and product distribution,10.1016/j.jaap.2025.107487,Producto: Materiale
Co-pyrolysis of chrome-tanned leather waste and polyethylene terephthalate: Synergistic effects on pyrolysis kinetics and product distribution,10.1016/j.jaap.2025.107487,Residuos: Residuos sólidos
Co-pyrolysis of chrome-tanned leather waste and polyethylene terephthalate: Synergistic effects on pyrolysis kinetics and product distribution,10.1016/j.jaap.2025.107487,Residuos: Residuos con cromo
Co-pyrolysis of chrome-tanned leather waste and polyethylene terephthalate: Synergistic effects on pyrolysis kinetics and product distribution,10.1016/j.jaap.2025.107487,Tipo de valorización: Valorización térmica
Boosting the low-temperature NH3-SCR performance via metals co-doping with inequality Mn/Ce ratios in the carbon-based catalyst prepared by Cr-containing leather waste,10.1016/j.mcat.2023.113615,Producto: Materiale
Boosting the low-temperature NH3-SCR performance via metals co-doping with inequality Mn/Ce ratios in the carbon-based catalyst prepared by Cr-containing leather waste,10.1016/j.mcat.2023.113615,Residuos: Residuos sólidos
Boosting the low-temperature NH3-SCR performance via metals co-doping with inequality Mn/Ce ratios in the carbon-based catalyst prepared by Cr-containing leather waste,10.1016/j.mcat.2023.113615,Residuos: Residuos con cromo
Boosting the low-temperature NH3-SCR performance via metals co-doping with inequality Mn/Ce ratios in the carbon-based catalyst prepared by Cr-containing leather waste,10.1016/j.mcat.2023.113615,Tipo de valorización: Valorización térmica
Boosting the low-temperature NH3-SCR performance via metals co-doping with inequality Mn/Ce ratios in the carbon-based catalyst prepared by Cr-containing leather waste,10.1016/j.mcat.2023.113615,Tipo de valorización: Aplicaciones ambientales
Preparation of Nontoxic Biodegradable Packaging Materials from Hazardous Leather Shaving Dusts Using Poly(Vinyl Alcohol),10.1021/acssusresmgt.4c00008,Producto: Materiale
Preparation of Nontoxic Biodegradable Packaging Materials from Hazardous Leather Shaving Dusts Using Poly(Vinyl Alcohol),10.1021/acssusresmgt.4c00008,Producto: Biomoléculas
Preparation of Nontoxic Biodegradable Packaging Materials from Hazardous Leather Shaving Dusts Using Poly(Vinyl Alcohol),10.1021/acssusresmgt.4c00008,Residuos: Residuos sólidos
Preparation of Nontoxic Biodegradable Packaging Materials from Hazardous Leather Shaving Dusts Using Poly(Vinyl Alcohol),10.1021/acssusresmgt.4c00008,Residuos: Residuos con cromo
Preparation of Nontoxic Biodegradable Packaging Materials from Hazardous Leather Shaving Dusts Using Poly(Vinyl Alcohol),10.1021/acssusresmgt.4c00008,Tipo de valorización: Valorización química
An integrated pickling-bating technology for reducing ammonia-nitrogen and chloride pollution in leather manufacturing,10.1016/j.jclepro.2022.134070,Producto: Materiale
An integrated pickling-bating technology for reducing ammonia-nitrogen and chloride pollution in leather manufacturing,10.1016/j.jclepro.2022.134070,Residuos: Residuos con cromo
An integrated pickling-bating technology for reducing ammonia-nitrogen and chloride pollution in leather manufacturing,10.1016/j.jclepro.2022.134070,Residuos: Residuos líquidos
An integrated pickling-bating technology for reducing ammonia-nitrogen and chloride pollution in leather manufacturing,10.1016/j.jclepro.2022.134070,Tipo de valorización: Valorización química
Nanoarchitectonics of nitrogen-doped porous carbon derived from leather wastes for solid-state supercapacitor,10.1007/s10854-021-07678-5,Producto: Energía
Nanoarchitectonics of nitrogen-doped porous carbon derived from leather wastes for solid-state supercapacitor,10.1007/s10854-021-07678-5,Producto: Materiale
Nanoarchitectonics of nitrogen-doped porous carbon derived from leather wastes for solid-state supercapacitor,10.1007/s10854-021-07678-5,Residuos: Residuos sólidos
Nanoarchitectonics of nitrogen-doped porous carbon derived from leather wastes for solid-state supercapacitor,10.1007/s10854-021-07678-5,Residuos: Residuos sin cromo
Nanoarchitectonics of nitrogen-doped porous carbon derived from leather wastes for solid-state supercapacitor,10.1007/s10854-021-07678-5,Tipo de valorización: Valorización térmica
Turning Waste into Treasure: Multicolor Carbon Dots Synthesized from Waste Leather Scrap and their Application in Anti-Counterfeiting,10.1021/acssuschemeng.2c07045,Producto: Materiale
Turning Waste into Treasure: Multicolor Carbon Dots Synthesized from Waste Leather Scrap and their Application in Anti-Counterfeiting,10.1021/acssuschemeng.2c07045,Residuos: Residuos sólidos
Turning Waste into Treasure: Multicolor Carbon Dots Synthesized from Waste Leather Scrap and their Application in Anti-Counterfeiting,10.1021/acssuschemeng.2c07045,Tipo de valorización: Valorización química
Recovery of Cr from chrome-containing leather wastes to develop aluminum-based composite material along with Al2O3 ceramic particles: An ingenious approach,10.1515/ntrev-2022-0406,Producto: Materiale
Recovery of Cr from chrome-containing leather wastes to develop aluminum-based composite material along with Al2O3 ceramic particles: An ingenious approach,10.1515/ntrev-2022-0406,Residuos: Residuos sólidos
Recovery of Cr from chrome-containing leather wastes to develop aluminum-based composite material along with Al2O3 ceramic particles: An ingenious approach,10.1515/ntrev-2022-0406,Residuos: Residuos con cromo
Recovery of Cr from chrome-containing leather wastes to develop aluminum-based composite material along with Al2O3 ceramic particles: An ingenious approach,10.1515/ntrev-2022-0406,Tipo de valorización: Valorización química
Valorization of agitated thin film dryer (ATFD)-mixed-salt from textile wastewater for its application in leather manufacturing–a sustainable approach,10.1080/09593330.2024.2358449,Producto: Materiale
Valorization of agitated thin film dryer (ATFD)-mixed-salt from textile wastewater for its application in leather manufacturing–a sustainable approach,10.1080/09593330.2024.2358449,Residuos: Residuos sólidos
Valorization of agitated thin film dryer (ATFD)-mixed-salt from textile wastewater for its application in leather manufacturing–a sustainable approach,10.1080/09593330.2024.2358449,Residuos: Residuos líquidos
Valorization of agitated thin film dryer (ATFD)-mixed-salt from textile wastewater for its application in leather manufacturing–a sustainable approach,10.1080/09593330.2024.2358449,Tipo de valorización: Valorización química
Valorization of agitated thin film dryer (ATFD)-mixed-salt from textile wastewater for its application in leather manufacturing–a sustainable approach,10.1080/09593330.2024.2358449,Tipo de valorización: Aplicaciones ambientales
LEATHER TANNING SLUDGE IN CEMENT MORTAR: SUSTAINABLE VALORISATION,10.24857/rgsa.v18n8-043,Producto: Materiale
LEATHER TANNING SLUDGE IN CEMENT MORTAR: SUSTAINABLE VALORISATION,10.24857/rgsa.v18n8-043,Residuos: Residuos sólidos
LEATHER TANNING SLUDGE IN CEMENT MORTAR: SUSTAINABLE VALORISATION,10.24857/rgsa.v18n8-043,Residuos: Residuos con cromo
LEATHER TANNING SLUDGE IN CEMENT MORTAR: SUSTAINABLE VALORISATION,10.24857/rgsa.v18n8-043,Tipo de valorización: Valorización química
